R=7.0  mu=0.5  sigma=1.0  t_char~7.0  t_run=64.0  (9.1x t_char)
  t       dP      pin     pout    n_core n_far
    4.0  +0.2298  +0.3201  +0.0904    231    296
    8.0  +0.1220  -0.0438  -0.1658    231    302
   12.0  +0.0256  +0.0334  +0.0078    231    304
   16.0  +0.0693  +0.0775  +0.0082    231    304
   20.0  +0.0688  +0.0691  +0.0003    230    302
   24.0  +0.0644  +0.0657  +0.0013    230    302
   28.0  +0.0650  +0.0666  +0.0015    230    302
   32.0  +0.0650  +0.0667  +0.0016    229    302
   36.0  +0.0646  +0.0665  +0.0019    229    302
   40.0  +0.0646  +0.0665  +0.0019    229    303
   44.0  +0.0645  +0.0665  +0.0020    229    302
