=== processing PED00422 ===
  [PED00422] processed 25 conformers (39.8s)
  [PED00422] processed 50 conformers (72.8s)
  [PED00422] processed 75 conformers (131.9s)
  [PED00422] processed 100 conformers (256.5s)
  [PED00422] processed 125 conformers (380.0s)
  [PED00422] processed 150 conformers (503.5s)
  [PED00422] processed 175 conformers (629.3s)
  [PED00422] processed 200 conformers (757.0s)
  [PED00422] processed 225 conformers (880.7s)
  [PED00422] processed 250 conformers (1006.1s)
  [PED00422] processed 275 conformers (1131.8s)
  [PED00422] processed 300 conformers (1265.6s)
  [PED00422] processed 325 conformers (1398.6s)
  [PED00422] processed 350 conformers (1526.9s)
  [PED00422] processed 375 conformers (1655.3s)
  [PED00422] processed 400 conformers (1789.8s)
  [PED00422] processed 425 conformers (1920.6s)
  [PED00422] processed 450 conformers (2042.2s)
  [PED00422] processed 475 conformers (2167.7s)
  [PED00422] processed 500 conformers (2291.7s)
  [PED00422] processed 525 conformers (2414.7s)
  [PED00422] processed 550 conformers (2542.2s)
  [PED00422] processed 575 conformers (2669.1s)
  [PED00422] processed 600 conformers (2790.0s)
  [PED00422] processed 625 conformers (2909.9s)
  [PED00422] processed 650 conformers (3026.5s)
  [PED00422] processed 675 conformers (3146.6s)
  [PED00422] processed 700 conformers (3250.9s)
  [PED00422] processed 725 conformers (3367.6s)
  [PED00422] processed 750 conformers (3484.3s)
  [PED00422] processed 775 conformers (3602.7s)
  [PED00422] processed 800 conformers (3719.7s)
  [PED00422] processed 825 conformers (3841.5s)
  [PED00422] processed 850 conformers (3965.3s)
  [PED00422] processed 875 conformers (4089.2s)
  [PED00422] processed 900 conformers (4216.7s)
  [PED00422] processed 925 conformers (4326.6s)
  [PED00422] processed 950 conformers (4433.2s)
  [PED00422] processed 975 conformers (4539.0s)
  [PED00422] processed 1000 conformers (4644.5s)
[PED00422] done: 1000 conformers, 4648.1s
=== processing PED00192 ===
  [PED00192] processed 25 conformers (29.7s)
  [PED00192] processed 50 conformers (58.8s)
  [PED00192] processed 75 conformers (87.8s)
[PED00192] done: 75 conformers, 87.9s
=== processing PED00443 ===
  [PED00443] processed 25 conformers (30.0s)
  [PED00443] processed 50 conformers (54.8s)
  [PED00443] processed 75 conformers (82.5s)
  [PED00443] processed 100 conformers (110.9s)
  [PED00443] processed 125 conformers (139.8s)
  [PED00443] processed 150 conformers (167.3s)
  [PED00443] processed 175 conformers (194.9s)
  [PED00443] processed 200 conformers (222.6s)
  [PED00443] processed 225 conformers (249.6s)
  [PED00443] processed 250 conformers (277.5s)
  [PED00443] processed 275 conformers (305.9s)
  [PED00443] processed 300 conformers (333.8s)
  [PED00443] processed 325 conformers (361.4s)
  [PED00443] processed 350 conformers (389.3s)
  [PED00443] processed 375 conformers (417.0s)
  [PED00443] processed 400 conformers (444.5s)
  [PED00443] processed 425 conformers (472.2s)
  [PED00443] processed 450 conformers (499.6s)
  [PED00443] processed 475 conformers (527.3s)
  [PED00443] processed 500 conformers (554.6s)
  [PED00443] processed 525 conformers (582.4s)
  [PED00443] processed 550 conformers (610.1s)
  [PED00443] processed 575 conformers (638.2s)
  [PED00443] processed 600 conformers (661.9s)
  [PED00443] processed 625 conformers (690.3s)
  [PED00443] processed 650 conformers (719.0s)
  [PED00443] processed 675 conformers (747.4s)
  [PED00443] processed 700 conformers (775.3s)
  [PED00443] processed 725 conformers (803.5s)
  [PED00443] processed 750 conformers (831.9s)
  [PED00443] processed 775 conformers (860.4s)
  [PED00443] processed 800 conformers (889.5s)
  [PED00443] processed 825 conformers (917.7s)
  [PED00443] processed 850 conformers (946.5s)
  [PED00443] processed 875 conformers (978.5s)
  [PED00443] processed 900 conformers (1011.1s)
  [PED00443] processed 925 conformers (1045.6s)
  [PED00443] processed 950 conformers (1077.1s)
  [PED00443] processed 975 conformers (1105.3s)
  [PED00443] processed 1000 conformers (1133.3s)
[PED00443] done: 1000 conformers, 1133.9s
Done. Reports in C:\Users\Okapi\Downloads\PED Files\tau_mech\outputs
