N=5755  R=6.0  domain=(0.0, 0.0, 44.0, 26.0)
  r       P(r)     rho(r)
   0.12   2.3818  1.0222
   0.38   2.2296  1.0111
   0.62   2.1160  1.0129
   0.88   0.1199  0.9754
   1.12   0.6099  0.9829
   1.38   0.3142  0.9931
   1.62   1.0052  1.0097
   1.88   2.4991  1.0230
   2.12   2.2412  1.0209
   2.38   1.0410  1.0087
   2.62   0.3796  1.0017
   2.88   0.3822  0.9973
   3.12   2.0063  1.0175
   3.38   2.2458  1.0210
   3.62   1.3796  1.0128
   3.88   0.8782  1.0041
   4.12   0.6164  0.9892
   4.38   1.5548  1.0092
   4.62   1.2659  1.0094
   4.88   2.1177  1.0197
   5.12   2.0117  1.0165
   5.38   0.4683  0.9540
   5.62   0.0000  0.8480
   5.88   0.0000  0.8345
   6.12   0.0000  0.8667
   6.38   0.0000  0.8520
   6.62   0.0000  0.8686
   6.88   0.0042  0.9221
   7.12   0.0441  0.9867
   7.38   0.1201  1.0006
   7.62   0.1296  1.0011
   7.88   0.0229  0.9980
  center P (r<1):   1.7118
  bulk P (1<r<4): 1.2485  (flat? max-min=2.1850)
  max P at r=1.88 (P=2.4991)
