=== processing PED00422 ===
  [PED00422] processed 25 conformers (84.0s)
  [PED00422] processed 50 conformers (206.0s)
  [PED00422] processed 75 conformers (310.5s)
  [PED00422] processed 100 conformers (418.9s)
  [PED00422] processed 125 conformers (518.0s)
  [PED00422] processed 150 conformers (612.9s)
  [PED00422] processed 175 conformers (738.4s)
  [PED00422] processed 200 conformers (827.2s)
  [PED00422] processed 225 conformers (933.3s)
  [PED00422] processed 250 conformers (1042.8s)
  [PED00422] processed 275 conformers (1150.2s)
  [PED00422] processed 300 conformers (1263.9s)
  [PED00422] processed 325 conformers (1378.6s)
  [PED00422] processed 350 conformers (1466.9s)
  [PED00422] processed 375 conformers (1558.9s)
  [PED00422] processed 400 conformers (1648.7s)
  [PED00422] processed 425 conformers (1759.6s)
  [PED00422] processed 450 conformers (1898.9s)
  [PED00422] processed 475 conformers (2044.0s)
  [PED00422] processed 500 conformers (2185.6s)
  [PED00422] processed 525 conformers (2329.2s)
  [PED00422] processed 550 conformers (2472.2s)
  [PED00422] processed 575 conformers (2613.3s)
  [PED00422] processed 600 conformers (2727.1s)
  [PED00422] processed 625 conformers (2842.6s)
  [PED00422] processed 650 conformers (2982.8s)
  [PED00422] processed 675 conformers (3111.7s)
  [PED00422] processed 700 conformers (3222.2s)
  [PED00422] processed 725 conformers (3309.2s)
  [PED00422] processed 750 conformers (3395.7s)
  [PED00422] processed 775 conformers (3506.8s)
  [PED00422] processed 800 conformers (3618.0s)
  [PED00422] processed 825 conformers (3728.3s)
  [PED00422] processed 850 conformers (3830.3s)
  [PED00422] processed 875 conformers (3937.2s)
  [PED00422] processed 900 conformers (4021.8s)
  [PED00422] processed 925 conformers (4165.9s)
  [PED00422] processed 950 conformers (4296.0s)
  [PED00422] processed 975 conformers (4479.0s)
  [PED00422] processed 1000 conformers (4660.3s)
[PED00422] done: 1000 conformers, 4665.8s
=== processing PED00192 ===
  [PED00192] processed 25 conformers (50.2s)
  [PED00192] processed 50 conformers (98.9s)
  [PED00192] processed 75 conformers (147.4s)
[PED00192] done: 75 conformers, 147.5s
=== processing PED00443 ===
  [PED00443] processed 25 conformers (51.2s)
  [PED00443] processed 50 conformers (97.0s)
  [PED00443] processed 75 conformers (144.5s)
  [PED00443] processed 100 conformers (189.7s)
  [PED00443] processed 125 conformers (236.5s)
  [PED00443] processed 150 conformers (281.5s)
  [PED00443] processed 175 conformers (327.2s)
  [PED00443] processed 200 conformers (373.0s)
  [PED00443] processed 225 conformers (418.8s)
  [PED00443] processed 250 conformers (466.5s)
  [PED00443] processed 275 conformers (516.2s)
  [PED00443] processed 300 conformers (564.7s)
  [PED00443] processed 325 conformers (610.8s)
  [PED00443] processed 350 conformers (11435.7s)
  [PED00443] processed 375 conformers (16073.4s)
  [PED00443] processed 400 conformers (16092.7s)
  [PED00443] processed 425 conformers (16113.9s)
  [PED00443] processed 450 conformers (16135.3s)
  [PED00443] processed 475 conformers (16189.0s)
  [PED00443] processed 500 conformers (16247.7s)
  [PED00443] processed 525 conformers (16306.8s)
  [PED00443] processed 550 conformers (16364.7s)
  [PED00443] processed 575 conformers (16422.9s)
  [PED00443] processed 600 conformers (16478.4s)
  [PED00443] processed 625 conformers (16523.4s)
  [PED00443] processed 650 conformers (16568.9s)
  [PED00443] processed 675 conformers (16614.4s)
  [PED00443] processed 700 conformers (16662.0s)
  [PED00443] processed 725 conformers (16708.1s)
  [PED00443] processed 750 conformers (16753.2s)
  [PED00443] processed 775 conformers (16800.5s)
  [PED00443] processed 800 conformers (16846.7s)
  [PED00443] processed 825 conformers (16889.5s)
  [PED00443] processed 850 conformers (16932.7s)
  [PED00443] processed 875 conformers (16978.0s)
  [PED00443] processed 900 conformers (17020.7s)
  [PED00443] processed 925 conformers (17065.1s)
  [PED00443] processed 950 conformers (17109.9s)
  [PED00443] processed 975 conformers (17154.0s)
  [PED00443] processed 1000 conformers (17196.9s)
[PED00443] done: 1000 conformers, 17197.7s
Done. Reports in C:\Users\Okapi\Downloads\PED Files\tau_mech\outputs
