=== processing PED00422 ===
  [PED00422] processed 25 conformers (128.4s)
  [PED00422] processed 50 conformers (230.6s)
  [PED00422] processed 75 conformers (299.4s)
  [PED00422] processed 100 conformers (344.8s)
  [PED00422] processed 125 conformers (388.1s)
  [PED00422] processed 150 conformers (431.9s)
  [PED00422] processed 175 conformers (476.2s)
  [PED00422] processed 200 conformers (541.7s)
  [PED00422] processed 225 conformers (613.3s)
  [PED00422] processed 250 conformers (658.0s)
  [PED00422] processed 275 conformers (702.1s)
  [PED00422] processed 300 conformers (745.6s)
  [PED00422] processed 325 conformers (789.9s)
  [PED00422] processed 350 conformers (834.0s)
  [PED00422] processed 375 conformers (878.2s)
  [PED00422] processed 400 conformers (922.9s)
  [PED00422] processed 425 conformers (968.5s)
  [PED00422] processed 450 conformers (1012.2s)
  [PED00422] processed 475 conformers (1055.7s)
  [PED00422] processed 500 conformers (1099.2s)
  [PED00422] processed 525 conformers (1142.7s)
  [PED00422] processed 550 conformers (1186.5s)
  [PED00422] processed 575 conformers (1230.1s)
  [PED00422] processed 600 conformers (1272.5s)
  [PED00422] processed 625 conformers (1315.9s)
  [PED00422] processed 650 conformers (1359.0s)
  [PED00422] processed 675 conformers (1402.5s)
  [PED00422] processed 700 conformers (1445.5s)
  [PED00422] processed 725 conformers (1489.7s)
  [PED00422] processed 750 conformers (1534.8s)
  [PED00422] processed 775 conformers (1578.9s)
  [PED00422] processed 800 conformers (1620.9s)
  [PED00422] processed 825 conformers (1665.5s)
  [PED00422] processed 850 conformers (1709.2s)
  [PED00422] processed 875 conformers (1753.3s)
  [PED00422] processed 900 conformers (1801.4s)
  [PED00422] processed 925 conformers (1845.4s)
  [PED00422] processed 950 conformers (1889.1s)
  [PED00422] processed 975 conformers (1932.9s)
  [PED00422] processed 1000 conformers (1977.3s)
[PED00422] done: 1000 conformers, 1978.8s
=== processing PED00192 ===
  [PED00192] processed 25 conformers (12.3s)
  [PED00192] processed 50 conformers (24.7s)
  [PED00192] processed 75 conformers (36.6s)
[PED00192] done: 75 conformers, 36.6s
=== processing PED00443 ===
  [PED00443] processed 25 conformers (13.4s)
  [PED00443] processed 50 conformers (25.3s)
  [PED00443] processed 75 conformers (37.1s)
  [PED00443] processed 100 conformers (48.9s)
  [PED00443] processed 125 conformers (60.5s)
  [PED00443] processed 150 conformers (71.8s)
  [PED00443] processed 175 conformers (85.5s)
  [PED00443] processed 200 conformers (98.4s)
  [PED00443] processed 225 conformers (109.2s)
  [PED00443] processed 250 conformers (121.4s)
  [PED00443] processed 275 conformers (133.1s)
  [PED00443] processed 300 conformers (144.4s)
  [PED00443] processed 325 conformers (155.4s)
  [PED00443] processed 350 conformers (166.8s)
  [PED00443] processed 375 conformers (177.8s)
  [PED00443] processed 400 conformers (188.6s)
  [PED00443] processed 425 conformers (199.6s)
  [PED00443] processed 450 conformers (210.3s)
  [PED00443] processed 475 conformers (221.4s)
  [PED00443] processed 500 conformers (232.1s)
  [PED00443] processed 525 conformers (243.7s)
  [PED00443] processed 550 conformers (255.3s)
  [PED00443] processed 575 conformers (266.5s)
  [PED00443] processed 600 conformers (278.0s)
  [PED00443] processed 625 conformers (288.8s)
  [PED00443] processed 650 conformers (299.9s)
  [PED00443] processed 675 conformers (314.6s)
  [PED00443] processed 700 conformers (325.7s)
  [PED00443] processed 725 conformers (336.7s)
  [PED00443] processed 750 conformers (347.8s)
  [PED00443] processed 775 conformers (359.3s)
  [PED00443] processed 800 conformers (370.6s)
  [PED00443] processed 825 conformers (381.8s)
  [PED00443] processed 850 conformers (393.5s)
  [PED00443] processed 875 conformers (404.4s)
  [PED00443] processed 900 conformers (415.9s)
  [PED00443] processed 925 conformers (427.6s)
  [PED00443] processed 950 conformers (439.2s)
  [PED00443] processed 975 conformers (450.9s)
  [PED00443] processed 1000 conformers (462.2s)
[PED00443] done: 1000 conformers, 462.5s
Done. Reports in C:\Users\Okapi\Downloads\PED Files\tau_mech\outputs
